eleveID;filiere;info;bloc;classement
E003;C;apprenti;Ouverture scientifique;CSC_OEL10_TP|CSC_OEL07_TP|CSC_OEL11_TP|PHY_OEL18_TP|CSC_OEL12_TP|CCH_OEL37_TP|CCH_OEL73_TP|CSC_OEL13_TP|PHY_OEL16_TP|PHY_OEL14_TP|PHY_OEL17_TP|APM_OEL03_TP
E003;C;apprenti;SEHS;HSS_OEL46_TP|HSS_OEL42_TP|HSS_OEL33_TP|HSS_OEL44_TP|ECO_OEL40_TP|IME_OEL31_TP|HSS_OEL32_TP|HSS_OEL39_TP|HSS_OEL43_TP|IME_OEL38_TP
E003;C;apprenti;Statistique;APM_4TC03_TP|APM_4TC01_TP|APM_4TC02_TP
E003;C;apprenti;Sécurité;CSC_4TC30_TP|CSC_4TC31_TP
E004;A;apprenti;Droit;HSS_OEL21_TP|HSS_OEL22_TP|HSS_OEL25_TP
E004;A;apprenti;Economie du numérique;ECO_OEL30_TP
E004;A;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL65_TP|HSS_OEL58_TP|HSS_OEL53_TP|HSS_OEL66_TP|HSS_OEL61_TP|HSS_OEL56_TP|HSS_OEL52_TP|HSS_OEL50_TP|HSS_OEL57_TP|HSS_OEL59_TP|HSS_OEL51_TP
E004;A;apprenti;IA;APM_4TC20_TP
E004;A;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC12_TP|FMA_4TC10_TP|FMA_4TC13_TP
E004;A;apprenti;Ouverture scientifique;CSC_OEL10_TP|CSC_OEL13_TP|CSC_OEL12_TP|PHY_OEL17_TP|CSC_OEL07_TP|APM_OEL03_TP|PHY_OEL14_TP|PHY_OEL18_TP|CSC_OEL11_TP|CCH_OEL37_TP|CCH_OEL73_TP|PHY_OEL16_TP
E004;A;apprenti;SEHS;HSS_OEL44_TP|HSS_OEL46_TP|IME_OEL38_TP|HSS_OEL43_TP|HSS_OEL32_TP|HSS_OEL39_TP|HSS_OEL42_TP|HSS_OEL33_TP|IME_OEL31_TP|ECO_OEL40_TP
E004;A;apprenti;Statistique;APM_4TC03_TP|APM_4TC01_TP|APM_4TC02_TP
E004;A;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E005;B;apprenti;Droit;HSS_OEL21_TP|HSS_OEL25_TP|HSS_OEL22_TP
E005;B;apprenti;Economie du numérique;ECO_OEL30_TP
E005;B;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL56_TP|HSS_OEL53_TP|HSS_OEL65_TP|HSS_OEL58_TP|HSS_OEL66_TP|HSS_OEL52_TP|HSS_OEL61_TP|HSS_OEL57_TP|HSS_OEL50_TP|HSS_OEL59_TP|HSS_OEL51_TP
E005;B;apprenti;IA;APM_4TC20_TP
E005;B;apprenti;Optimisation;FMA_4TC12_TP|FMA_4TC11_TP|FMA_4TC13_TP|FMA_4TC10_TP
E005;B;apprenti;Ouverture scientifique;CSC_OEL10_TP|PHY_OEL17_TP|CSC_OEL13_TP|PHY_OEL14_TP|CSC_OEL07_TP|PHY_OEL18_TP|PHY_OEL16_TP|CCH_OEL37_TP|CCH_OEL73_TP|CSC_OEL12_TP|CSC_OEL11_TP|APM_OEL03_TP
E005;B;apprenti;SEHS;HSS_OEL46_TP|HSS_OEL33_TP|ECO_OEL40_TP|IME_OEL38_TP|HSS_OEL44_TP|HSS_OEL32_TP|HSS_OEL42_TP|HSS_OEL39_TP|HSS_OEL43_TP|IME_OEL31_TP
E005;B;apprenti;Statistique;APM_4TC03_TP|APM_4TC02_TP|APM_4TC01_TP
E005;B;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E006;A;apprenti;Droit;HSS_OEL21_TP|HSS_OEL22_TP|HSS_OEL25_TP
E006;A;apprenti;Economie du numérique;ECO_OEL30_TP
E006;A;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL52_TP|HSS_OEL66_TP|HSS_OEL58_TP|HSS_OEL53_TP|HSS_OEL65_TP|HSS_OEL59_TP|HSS_OEL56_TP|HSS_OEL61_TP|HSS_OEL57_TP|HSS_OEL50_TP|HSS_OEL51_TP
E006;A;apprenti;IA;APM_4TC20_TP
E006;A;apprenti;Optimisation;FMA_4TC12_TP|FMA_4TC11_TP|FMA_4TC13_TP|FMA_4TC10_TP
E006;A;apprenti;Ouverture scientifique;CSC_OEL13_TP|CSC_OEL10_TP|CSC_OEL07_TP|CCH_OEL73_TP|CCH_OEL37_TP|CSC_OEL12_TP|PHY_OEL14_TP|APM_OEL03_TP|PHY_OEL18_TP|PHY_OEL17_TP|CSC_OEL11_TP|PHY_OEL16_TP
E006;A;apprenti;SEHS;HSS_OEL46_TP|HSS_OEL44_TP|ECO_OEL40_TP|IME_OEL38_TP|HSS_OEL42_TP|HSS_OEL43_TP|HSS_OEL32_TP|HSS_OEL39_TP|HSS_OEL33_TP|IME_OEL31_TP
E006;A;apprenti;Statistique;APM_4TC03_TP|APM_4TC02_TP|APM_4TC01_TP
E006;A;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E007;B;apprenti;Droit;HSS_OEL21_TP|HSS_OEL25_TP|HSS_OEL22_TP
E007;B;apprenti;Economie du numérique;ECO_OEL30_TP
E007;B;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL58_TP|HSS_OEL66_TP|HSS_OEL53_TP|HSS_OEL52_TP|HSS_OEL50_TP|HSS_OEL65_TP|HSS_OEL56_TP|HSS_OEL51_TP|HSS_OEL59_TP|HSS_OEL61_TP|HSS_OEL57_TP
E007;B;apprenti;IA;APM_4TC20_TP
E007;B;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC12_TP|FMA_4TC10_TP|FMA_4TC13_TP
E007;B;apprenti;Ouverture scientifique;CSC_OEL10_TP|CSC_OEL07_TP|CSC_OEL11_TP|CCH_OEL37_TP|CSC_OEL12_TP|CSC_OEL13_TP|PHY_OEL14_TP|PHY_OEL17_TP|PHY_OEL18_TP|CCH_OEL73_TP|APM_OEL03_TP|PHY_OEL16_TP
E007;B;apprenti;SEHS;HSS_OEL46_TP|HSS_OEL44_TP|ECO_OEL40_TP|HSS_OEL43_TP|HSS_OEL32_TP|IME_OEL38_TP|HSS_OEL33_TP|HSS_OEL39_TP|HSS_OEL42_TP|IME_OEL31_TP
E007;B;apprenti;Statistique;APM_4TC03_TP|APM_4TC01_TP|APM_4TC02_TP
E007;B;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E008;A;apprenti;Droit;HSS_OEL22_TP|HSS_OEL25_TP|HSS_OEL21_TP
E008;A;apprenti;Economie du numérique;ECO_OEL30_TP
E008;A;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL66_TP|HSS_OEL50_TP|HSS_OEL65_TP|HSS_OEL56_TP|HSS_OEL52_TP|HSS_OEL53_TP|HSS_OEL58_TP|HSS_OEL61_TP|HSS_OEL57_TP|HSS_OEL51_TP|HSS_OEL59_TP
E008;A;apprenti;IA;APM_4TC20_TP
E008;A;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC13_TP|FMA_4TC12_TP|FMA_4TC10_TP
E008;A;apprenti;Ouverture scientifique;CSC_OEL13_TP|CSC_OEL10_TP|PHY_OEL14_TP|CSC_OEL11_TP|CSC_OEL07_TP|CSC_OEL12_TP|APM_OEL03_TP|PHY_OEL17_TP|CCH_OEL37_TP|CCH_OEL73_TP|PHY_OEL16_TP|PHY_OEL18_TP
E008;A;apprenti;SEHS;HSS_OEL46_TP|HSS_OEL44_TP|HSS_OEL32_TP|ECO_OEL40_TP|HSS_OEL39_TP|IME_OEL38_TP|HSS_OEL33_TP|IME_OEL31_TP|HSS_OEL42_TP|HSS_OEL43_TP
E008;A;apprenti;Statistique;APM_4TC03_TP|APM_4TC02_TP|APM_4TC01_TP
E008;A;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E009;A;apprenti;Droit;HSS_OEL21_TP|HSS_OEL22_TP|HSS_OEL25_TP
E009;A;apprenti;Economie du numérique;ECO_OEL30_TP
E009;A;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL61_TP|HSS_OEL66_TP|HSS_OEL65_TP|HSS_OEL50_TP|HSS_OEL58_TP|HSS_OEL56_TP|HSS_OEL59_TP|HSS_OEL51_TP|HSS_OEL53_TP|HSS_OEL57_TP|HSS_OEL52_TP
E009;A;apprenti;IA;APM_4TC20_TP
E009;A;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC13_TP|FMA_4TC10_TP|FMA_4TC12_TP
E009;A;apprenti;Ouverture scientifique;CSC_OEL10_TP|CSC_OEL13_TP|PHY_OEL17_TP|CSC_OEL11_TP|CCH_OEL37_TP|PHY_OEL14_TP|CCH_OEL73_TP|CSC_OEL07_TP|PHY_OEL16_TP|PHY_OEL18_TP|APM_OEL03_TP|CSC_OEL12_TP
E009;A;apprenti;SEHS;HSS_OEL46_TP|HSS_OEL33_TP|HSS_OEL44_TP|IME_OEL38_TP|ECO_OEL40_TP|HSS_OEL32_TP|HSS_OEL43_TP|HSS_OEL42_TP|HSS_OEL39_TP|IME_OEL31_TP
E009;A;apprenti;Statistique;APM_4TC03_TP|APM_4TC01_TP|APM_4TC02_TP
E009;A;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E010;B;apprenti;Droit;HSS_OEL21_TP|HSS_OEL25_TP|HSS_OEL22_TP
E010;B;apprenti;Economie du numérique;ECO_OEL30_TP
E010;B;apprenti;Humanités Contemporaines;HSS_OEL56_TP|HSS_OEL58_TP|HSS_OEL65_TP|HSS_OEL53_TP|HSS_OEL61_TP|HSS_OEL63_TP|HSS_OEL52_TP|HSS_OEL50_TP|HSS_OEL57_TP|HSS_OEL66_TP|HSS_OEL51_TP|HSS_OEL59_TP
E010;B;apprenti;IA;APM_4TC20_TP
E010;B;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC12_TP|FMA_4TC10_TP|FMA_4TC13_TP
E010;B;apprenti;Ouverture scientifique;CSC_OEL13_TP|CSC_OEL10_TP|PHY_OEL14_TP|PHY_OEL18_TP|CSC_OEL07_TP|PHY_OEL17_TP|CSC_OEL11_TP|CCH_OEL37_TP|CSC_OEL12_TP|CCH_OEL73_TP|APM_OEL03_TP|PHY_OEL16_TP
E010;B;apprenti;SEHS;HSS_OEL46_TP|HSS_OEL44_TP|ECO_OEL40_TP|HSS_OEL32_TP|IME_OEL31_TP|HSS_OEL42_TP|HSS_OEL43_TP|HSS_OEL33_TP|IME_OEL38_TP|HSS_OEL39_TP
E010;B;apprenti;Statistique;APM_4TC03_TP|APM_4TC01_TP|APM_4TC02_TP
E010;B;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E011;A;apprenti;Droit;HSS_OEL21_TP|HSS_OEL25_TP|HSS_OEL22_TP
E011;A;apprenti;Economie du numérique;ECO_OEL30_TP
E011;A;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL58_TP|HSS_OEL53_TP|HSS_OEL59_TP|HSS_OEL61_TP|HSS_OEL56_TP|HSS_OEL65_TP|HSS_OEL52_TP|HSS_OEL50_TP|HSS_OEL66_TP|HSS_OEL51_TP|HSS_OEL57_TP
E011;A;apprenti;IA;APM_4TC20_TP
E011;A;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC13_TP|FMA_4TC12_TP|FMA_4TC10_TP
E011;A;apprenti;Ouverture scientifique;CSC_OEL10_TP|CSC_OEL13_TP|CSC_OEL12_TP|CSC_OEL07_TP|PHY_OEL18_TP|APM_OEL03_TP|PHY_OEL14_TP|CCH_OEL37_TP|PHY_OEL16_TP|CCH_OEL73_TP|PHY_OEL17_TP|CSC_OEL11_TP
E011;A;apprenti;SEHS;HSS_OEL44_TP|HSS_OEL46_TP|HSS_OEL42_TP|IME_OEL38_TP|ECO_OEL40_TP|HSS_OEL32_TP|HSS_OEL39_TP|HSS_OEL33_TP|IME_OEL31_TP|HSS_OEL43_TP
E011;A;apprenti;Statistique;APM_4TC02_TP|APM_4TC03_TP|APM_4TC01_TP
E011;A;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E012;A;apprenti;Droit;HSS_OEL22_TP|HSS_OEL25_TP|HSS_OEL21_TP
E012;A;apprenti;Economie du numérique;ECO_OEL30_TP
E012;A;apprenti;Humanités Contemporaines;HSS_OEL50_TP|HSS_OEL63_TP|HSS_OEL66_TP|HSS_OEL61_TP|HSS_OEL65_TP|HSS_OEL58_TP|HSS_OEL52_TP|HSS_OEL51_TP|HSS_OEL53_TP|HSS_OEL56_TP|HSS_OEL59_TP|HSS_OEL57_TP
E012;A;apprenti;IA;APM_4TC20_TP
E012;A;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC13_TP|FMA_4TC12_TP|FMA_4TC10_TP
E012;A;apprenti;Ouverture scientifique;CSC_OEL10_TP|CSC_OEL13_TP|CSC_OEL07_TP|CSC_OEL12_TP|PHY_OEL18_TP|CSC_OEL11_TP|APM_OEL03_TP|PHY_OEL14_TP|PHY_OEL17_TP|CCH_OEL73_TP|CCH_OEL37_TP|PHY_OEL16_TP
E012;A;apprenti;SEHS;HSS_OEL33_TP|HSS_OEL46_TP|HSS_OEL32_TP|HSS_OEL44_TP|IME_OEL31_TP|ECO_OEL40_TP|IME_OEL38_TP|HSS_OEL42_TP|HSS_OEL43_TP|HSS_OEL39_TP
E012;A;apprenti;Statistique;APM_4TC03_TP|APM_4TC02_TP|APM_4TC01_TP
E012;A;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E013;C;apprenti;Droit;HSS_OEL25_TP|HSS_OEL21_TP|HSS_OEL22_TP
E013;C;apprenti;Economie du numérique;ECO_OEL30_TP
E013;C;apprenti;Humanités Contemporaines;HSS_OEL58_TP|HSS_OEL66_TP|HSS_OEL63_TP|HSS_OEL61_TP|HSS_OEL50_TP|HSS_OEL56_TP|HSS_OEL51_TP|HSS_OEL65_TP|HSS_OEL53_TP|HSS_OEL57_TP|HSS_OEL59_TP|HSS_OEL52_TP
E013;C;apprenti;IA;APM_4TC20_TP
E013;C;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC13_TP|FMA_4TC10_TP|FMA_4TC12_TP
E013;C;apprenti;Ouverture scientifique;CSC_OEL13_TP|CSC_OEL07_TP|CSC_OEL10_TP|CSC_OEL11_TP|APM_OEL03_TP|PHY_OEL16_TP|CCH_OEL37_TP|CCH_OEL73_TP|PHY_OEL14_TP|CSC_OEL12_TP|PHY_OEL17_TP|PHY_OEL18_TP
E013;C;apprenti;SEHS;HSS_OEL44_TP|HSS_OEL43_TP|IME_OEL38_TP|HSS_OEL46_TP|HSS_OEL33_TP|HSS_OEL42_TP|ECO_OEL40_TP|HSS_OEL32_TP|HSS_OEL39_TP|IME_OEL31_TP
E013;C;apprenti;Statistique;APM_4TC03_TP|APM_4TC01_TP|APM_4TC02_TP
E013;C;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E014;C;apprenti;Droit;HSS_OEL25_TP|HSS_OEL21_TP|HSS_OEL22_TP
E014;C;apprenti;Economie du numérique;ECO_OEL30_TP
E014;C;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL57_TP|HSS_OEL66_TP|HSS_OEL51_TP|HSS_OEL61_TP|HSS_OEL58_TP|HSS_OEL56_TP|HSS_OEL53_TP|HSS_OEL65_TP|HSS_OEL52_TP|HSS_OEL59_TP|HSS_OEL50_TP
E014;C;apprenti;IA;APM_4TC20_TP
E014;C;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC12_TP|FMA_4TC13_TP|FMA_4TC10_TP
E014;C;apprenti;Ouverture scientifique;CSC_OEL10_TP|PHY_OEL18_TP|PHY_OEL14_TP|CSC_OEL13_TP|CSC_OEL07_TP|CSC_OEL11_TP|CSC_OEL12_TP|APM_OEL03_TP|CCH_OEL37_TP|CCH_OEL73_TP|PHY_OEL16_TP|PHY_OEL17_TP
E014;C;apprenti;SEHS;HSS_OEL44_TP|HSS_OEL46_TP|HSS_OEL42_TP|ECO_OEL40_TP|IME_OEL38_TP|HSS_OEL32_TP|HSS_OEL39_TP|IME_OEL31_TP|HSS_OEL43_TP|HSS_OEL33_TP
E014;C;apprenti;Statistique;APM_4TC03_TP|APM_4TC02_TP|APM_4TC01_TP
E014;C;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E015;B;apprenti;Droit;HSS_OEL21_TP|HSS_OEL25_TP|HSS_OEL22_TP
E015;B;apprenti;Economie du numérique;ECO_OEL30_TP
E015;B;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL56_TP|HSS_OEL51_TP|HSS_OEL65_TP|HSS_OEL50_TP|HSS_OEL58_TP|HSS_OEL66_TP|HSS_OEL61_TP|HSS_OEL52_TP|HSS_OEL59_TP|HSS_OEL53_TP|HSS_OEL57_TP
E015;B;apprenti;IA;APM_4TC20_TP
E015;B;apprenti;Optimisation;FMA_4TC12_TP|FMA_4TC13_TP|FMA_4TC11_TP|FMA_4TC10_TP
E015;B;apprenti;Ouverture scientifique;CSC_OEL07_TP|CSC_OEL10_TP|CSC_OEL12_TP|CSC_OEL13_TP|PHY_OEL18_TP|CCH_OEL37_TP|APM_OEL03_TP|CCH_OEL73_TP|PHY_OEL14_TP|CSC_OEL11_TP|PHY_OEL16_TP|PHY_OEL17_TP
E015;B;apprenti;SEHS;IME_OEL38_TP|HSS_OEL46_TP|ECO_OEL40_TP|HSS_OEL44_TP|HSS_OEL33_TP|HSS_OEL42_TP|HSS_OEL43_TP|HSS_OEL32_TP|HSS_OEL39_TP|IME_OEL31_TP
E015;B;apprenti;Statistique;APM_4TC03_TP|APM_4TC02_TP|APM_4TC01_TP
E015;B;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E016;B;apprenti;Droit;HSS_OEL21_TP|HSS_OEL25_TP|HSS_OEL22_TP
E016;B;apprenti;Economie du numérique;ECO_OEL30_TP
E016;B;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL56_TP|HSS_OEL58_TP|HSS_OEL53_TP|HSS_OEL50_TP|HSS_OEL57_TP|HSS_OEL61_TP|HSS_OEL65_TP|HSS_OEL59_TP|HSS_OEL66_TP|HSS_OEL52_TP|HSS_OEL51_TP
E016;B;apprenti;IA;APM_4TC20_TP
E016;B;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC12_TP|FMA_4TC13_TP|FMA_4TC10_TP
E016;B;apprenti;Ouverture scientifique;CSC_OEL10_TP|CSC_OEL07_TP|CSC_OEL13_TP|CSC_OEL11_TP|PHY_OEL18_TP|PHY_OEL17_TP|PHY_OEL14_TP|CCH_OEL37_TP|APM_OEL03_TP|CSC_OEL12_TP|PHY_OEL16_TP|CCH_OEL73_TP
E016;B;apprenti;SEHS;HSS_OEL46_TP|IME_OEL38_TP|ECO_OEL40_TP|HSS_OEL44_TP|HSS_OEL32_TP|HSS_OEL43_TP|HSS_OEL42_TP|HSS_OEL39_TP|HSS_OEL33_TP|IME_OEL31_TP
E016;B;apprenti;Statistique;APM_4TC03_TP|APM_4TC01_TP|APM_4TC02_TP
E016;B;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E017;B;apprenti;Droit;HSS_OEL22_TP|HSS_OEL21_TP|HSS_OEL25_TP
E017;B;apprenti;Economie du numérique;ECO_OEL30_TP
E017;B;apprenti;Humanités Contemporaines;HSS_OEL50_TP|HSS_OEL63_TP|HSS_OEL52_TP|HSS_OEL61_TP|HSS_OEL58_TP|HSS_OEL57_TP|HSS_OEL65_TP|HSS_OEL53_TP|HSS_OEL66_TP|HSS_OEL51_TP|HSS_OEL56_TP|HSS_OEL59_TP
E017;B;apprenti;IA;APM_4TC20_TP
E017;B;apprenti;Optimisation;FMA_4TC13_TP|FMA_4TC11_TP|FMA_4TC12_TP|FMA_4TC10_TP
E017;B;apprenti;Ouverture scientifique;CSC_OEL07_TP|CSC_OEL10_TP|CSC_OEL13_TP|CSC_OEL11_TP|PHY_OEL18_TP|CCH_OEL37_TP|PHY_OEL14_TP|PHY_OEL17_TP|CSC_OEL12_TP|APM_OEL03_TP|CCH_OEL73_TP|PHY_OEL16_TP
E017;B;apprenti;SEHS;HSS_OEL46_TP|HSS_OEL43_TP|HSS_OEL44_TP|HSS_OEL33_TP|IME_OEL38_TP|IME_OEL31_TP|HSS_OEL42_TP|HSS_OEL32_TP|HSS_OEL39_TP|ECO_OEL40_TP
E017;B;apprenti;Statistique;APM_4TC03_TP|APM_4TC01_TP|APM_4TC02_TP
E017;B;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E018;C;apprenti;Droit;HSS_OEL21_TP|HSS_OEL25_TP|HSS_OEL22_TP
E018;C;apprenti;Economie du numérique;ECO_OEL30_TP
E018;C;apprenti;Humanités Contemporaines;HSS_OEL61_TP|HSS_OEL50_TP|HSS_OEL65_TP|HSS_OEL63_TP|HSS_OEL53_TP|HSS_OEL66_TP|HSS_OEL52_TP|HSS_OEL56_TP|HSS_OEL59_TP|HSS_OEL58_TP|HSS_OEL51_TP|HSS_OEL57_TP
E018;C;apprenti;IA;APM_4TC20_TP
E018;C;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC12_TP|FMA_4TC13_TP|FMA_4TC10_TP
E018;C;apprenti;Ouverture scientifique;CSC_OEL07_TP|CSC_OEL10_TP|PHY_OEL18_TP|CCH_OEL37_TP|CSC_OEL11_TP|CSC_OEL13_TP|PHY_OEL17_TP|CCH_OEL73_TP|PHY_OEL14_TP|CSC_OEL12_TP|APM_OEL03_TP|PHY_OEL16_TP
E018;C;apprenti;SEHS;HSS_OEL46_TP|HSS_OEL44_TP|HSS_OEL42_TP|HSS_OEL39_TP|ECO_OEL40_TP|IME_OEL31_TP|HSS_OEL33_TP|HSS_OEL43_TP|HSS_OEL32_TP|IME_OEL38_TP
E018;C;apprenti;Statistique;APM_4TC02_TP|APM_4TC03_TP|APM_4TC01_TP
E018;C;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E019;C;apprenti;Droit;HSS_OEL21_TP|HSS_OEL22_TP|HSS_OEL25_TP
E019;C;apprenti;Economie du numérique;ECO_OEL30_TP
E019;C;apprenti;Humanités Contemporaines;HSS_OEL66_TP|HSS_OEL63_TP|HSS_OEL53_TP|HSS_OEL61_TP|HSS_OEL57_TP|HSS_OEL65_TP|HSS_OEL58_TP|HSS_OEL59_TP|HSS_OEL52_TP|HSS_OEL50_TP|HSS_OEL56_TP|HSS_OEL51_TP
E019;C;apprenti;IA;APM_4TC20_TP
E019;C;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC12_TP|FMA_4TC13_TP|FMA_4TC10_TP
E019;C;apprenti;Ouverture scientifique;CSC_OEL10_TP|PHY_OEL18_TP|PHY_OEL14_TP|CSC_OEL07_TP|CSC_OEL12_TP|PHY_OEL16_TP|CSC_OEL13_TP|APM_OEL03_TP|PHY_OEL17_TP|CSC_OEL11_TP|CCH_OEL37_TP|CCH_OEL73_TP
E019;C;apprenti;SEHS;HSS_OEL44_TP|HSS_OEL33_TP|HSS_OEL32_TP|IME_OEL38_TP|ECO_OEL40_TP|HSS_OEL43_TP|HSS_OEL46_TP|HSS_OEL39_TP|IME_OEL31_TP|HSS_OEL42_TP
E019;C;apprenti;Statistique;APM_4TC03_TP|APM_4TC02_TP|APM_4TC01_TP
E019;C;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E020;C;apprenti;Droit;HSS_OEL22_TP|HSS_OEL21_TP|HSS_OEL25_TP
E020;C;apprenti;Economie du numérique;ECO_OEL30_TP
E020;C;apprenti;Humanités Contemporaines;HSS_OEL66_TP|HSS_OEL58_TP|HSS_OEL65_TP|HSS_OEL63_TP|HSS_OEL61_TP|HSS_OEL56_TP|HSS_OEL57_TP|HSS_OEL59_TP|HSS_OEL53_TP|HSS_OEL51_TP|HSS_OEL52_TP|HSS_OEL50_TP
E020;C;apprenti;IA;APM_4TC20_TP
E020;C;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC12_TP|FMA_4TC13_TP|FMA_4TC10_TP
